ID	R	G	B
335	2.1509	0.9194	2.6207
336	3.3924	1.2701	3.7222
337	NaN	NaN	NaN
338	2.8000	1.1565	3.3671
339	0.4575	0.6422	3.0108
340	0.4575	0.6422	3.0108
341	0.4575	0.6422	3.0108
342	0.4575	0.6422	3.0108
343	0.4575	0.6422	3.0108
344	0.4575	0.6422	3.0108
345	0.4575	0.6422	3.0108
346	0.4575	0.6422	3.0108
347	0.4575	0.6422	3.0108
348	0.4575	0.6422	3.0108
349	2.8555  1.1911  3.5460
350	3.1394  1.2909  3.7354
351	2.8069  1.1994  3.5041
352	2.7945  1.1646  3.4290
353	NaN	NaN	NaN
354	2.9776  1.2174  3.5391
355	3.2813  1.3836  4.0904
356	NaN	NaN	NaN
357	3.2186  1.4514  4.3790
358	2.7853  1.2170  3.5851
359	3.8911  1.5851  4.6719
