Seconds	Time	Lux	CLA	CS	Activity
3422874060.000000	41078.389584	21.313700	26.820858	0.106262	0.469039
3422874240.000000	41078.391667	29.138152	32.454225	0.122189	0.090963
3422874420.000000	41078.393750	30.147700	35.008180	0.129032	0.031200
3422874600.000000	41078.395834	10.516675	13.492712	0.062667	0.092291
3422874780.000000	41078.397917	5.739693	7.643760	0.039639	0.245173
3422874960.000000	41078.400000	5.234965	5.580116	0.030588	0.106948
3422875140.000000	41078.402084	0.000000	0.000000	0.000000	0.147995
3422875320.000000	41078.404167	0.000000	0.000000	0.000000	0.569347
3422875500.000000	41078.406250	0.000000	0.000000	0.000000	0.124800
3422875680.000000	41078.408334	0.000000	0.000000	0.000000	0.526023
3422875860.000000	41078.410417	0.000000	0.000000	0.000000	0.041274
3422876040.000000	41078.412500	0.000000	0.000000	0.000000	0.034883
3422876220.000000	41078.414584	0.000000	0.000000	0.000000	0.031200
3422876400.000000	41078.416667	0.000000	0.000000	0.000000	0.034883
3422876580.000000	41078.418750	0.000000	0.000000	0.000000	0.031200
3422876760.000000	41078.420834	0.000000	0.000000	0.000000	0.031200
3422876940.000000	41078.422917	0.000000	0.000000	0.000000	0.031200
3422877120.000000	41078.425000	0.000000	0.000000	0.000000	0.034883
3422877300.000000	41078.427084	0.000000	0.000000	0.000000	0.031200
3422877480.000000	41078.429167	0.000000	0.000000	0.000000	0.031200
3422877660.000000	41078.431250	0.000000	0.000000	0.000000	0.031200
3422877840.000000	41078.433334	0.000000	0.000000	0.000000	0.031200
3422878020.000000	41078.435417	0.000000	0.000000	0.000000	0.031200
3422878200.000000	41078.437500	0.000000	0.000000	0.000000	0.034883
3422878380.000000	41078.439584	0.000000	0.000000	0.000000	0.034883
3422878560.000000	41078.441667	0.000000	0.000000	0.000000	0.041274
3422878740.000000	41078.443750	0.000000	0.000000	0.000000	0.038212
3422878920.000000	41078.445834	0.000000	0.000000	0.000000	0.034883
3422879100.000000	41078.447917	0.000000	0.000000	0.000000	0.038212
3422879280.000000	41078.450000	0.000000	0.000000	0.000000	0.034883
3422879460.000000	41078.452084	0.000000	0.000000	0.000000	0.115693
3422879640.000000	41078.454167	0.000000	0.000000	0.000000	0.510766
3422879820.000000	41078.456250	0.000000	0.000000	0.000000	0.546446
3422880000.000000	41078.458334	0.000000	0.000000	0.000000	0.034883
3422880180.000000	41078.460417	0.000000	0.000000	0.000000	0.034883
3422880360.000000	41078.462500	0.000000	0.000000	0.000000	0.038212
3422880540.000000	41078.464584	0.000000	0.000000	0.000000	0.034883
3422880720.000000	41078.466667	0.000000	0.000000	0.000000	0.034883
3422880900.000000	41078.468750	0.000000	0.000000	0.000000	0.046800
3422881080.000000	41078.470834	0.000000	0.000000	0.000000	0.113570
3422881260.000000	41078.472917	0.000000	0.000000	0.000000	0.058370
3422881440.000000	41078.475000	0.000000	0.000000	0.000000	0.056247
3422881620.000000	41078.477084	0.000000	0.000000	0.000000	0.166562
3422881800.000000	41078.479167	0.000000	0.000000	0.000000	0.038212
3422881980.000000	41078.481250	0.000000	0.000000	0.000000	0.031200
3422882160.000000	41078.483334	0.000000	0.000000	0.000000	0.038212
3422882340.000000	41078.485417	0.000000	0.000000	0.000000	0.038212
3422882520.000000	41078.487500	0.000000	0.000000	0.000000	0.034883
3422882700.000000	41078.489584	0.000000	0.000000	0.000000	0.034883
3422882880.000000	41078.491667	0.000000	0.000000	0.000000	0.034883
3422883060.000000	41078.493750	0.000000	0.000000	0.000000	0.034883
3422883240.000000	41078.495834	0.000000	0.000000	0.000000	0.034883
3422883420.000000	41078.497917	0.000000	0.000000	0.000000	0.034883
3422883600.000000	41078.500000	0.000000	0.000000	0.000000	0.038212
3422883780.000000	41078.502084	0.000000	0.000000	0.000000	0.038212
3422883960.000000	41078.504167	0.000000	0.000000	0.000000	0.034883
3422884140.000000	41078.506250	0.000000	0.000000	0.000000	0.034883
3422884320.000000	41078.508334	0.000000	0.000000	0.000000	0.034883
3422884500.000000	41078.510417	0.000000	0.000000	0.000000	0.034883
3422884680.000000	41078.512500	0.000000	0.000000	0.000000	0.034883
3422884860.000000	41078.514584	0.000000	0.000000	0.000000	0.038212
3422885040.000000	41078.516667	0.000000	0.000000	0.000000	0.034883
3422885220.000000	41078.518750	0.000000	0.000000	0.000000	0.031200
3422885400.000000	41078.520834	0.000000	0.000000	0.000000	0.034883
3422885580.000000	41078.522917	0.000000	0.000000	0.000000	0.031200
3422885760.000000	41078.525000	0.000000	0.000000	0.000000	0.034883
3422885940.000000	41078.527084	0.000000	0.000000	0.000000	0.034883
3422886120.000000	41078.529167	0.000000	0.000000	0.000000	0.034883
3422886300.000000	41078.531250	0.000000	0.000000	0.000000	0.034883
3422886480.000000	41078.533334	0.000000	0.000000	0.000000	0.034883
3422886660.000000	41078.535417	0.000000	0.000000	0.000000	0.034883
3422886840.000000	41078.537500	0.000000	0.000000	0.000000	0.034883
3422887020.000000	41078.539584	0.000000	0.000000	0.000000	0.034883
3422887200.000000	41078.541667	0.000000	0.000000	0.000000	0.034883
3422887380.000000	41078.543750	0.000000	0.000000	0.000000	0.034883
3422887560.000000	41078.545834	0.000000	0.000000	0.000000	0.034883
3422887740.000000	41078.547917	0.000000	0.000000	0.000000	0.034883
3422887920.000000	41078.550000	0.000000	0.000000	0.000000	0.034883
3422888100.000000	41078.552084	0.000000	0.000000	0.000000	0.034883
3422888280.000000	41078.554167	0.000000	0.000000	0.000000	0.038212
3422888460.000000	41078.556250	0.000000	0.000000	0.000000	0.034883
3422888640.000000	41078.558334	0.000000	0.000000	0.000000	0.034883
3422888820.000000	41078.560417	0.000000	0.000000	0.000000	0.034883
3422889000.000000	41078.562500	0.000000	0.000000	0.000000	0.031200
3422889180.000000	41078.564584	0.000000	0.000000	0.000000	0.034883
3422889360.000000	41078.566667	0.000000	0.000000	0.000000	0.034883
3422889540.000000	41078.568750	0.000000	0.000000	0.000000	0.034883
3422889720.000000	41078.570834	0.000000	0.000000	0.000000	0.038212
3422889900.000000	41078.572917	0.000000	0.000000	0.000000	0.034883
3422890080.000000	41078.575000	0.000000	0.000000	0.000000	0.034883
3422890260.000000	41078.577084	0.000000	0.000000	0.000000	0.031200
3422890440.000000	41078.579167	0.000000	0.000000	0.000000	0.034883
3422890620.000000	41078.581250	0.000000	0.000000	0.000000	0.034883
3422890800.000000	41078.583334	0.000000	0.000000	0.000000	0.034883
3422890980.000000	41078.585417	0.000000	0.000000	0.000000	0.034883
3422891160.000000	41078.587500	0.000000	0.000000	0.000000	0.034883
3422891340.000000	41078.589584	0.000000	0.000000	0.000000	0.034883
3422891520.000000	41078.591667	0.000000	0.000000	0.000000	0.038212
3422891700.000000	41078.593750	0.000000	0.000000	0.000000	0.034883
3422891880.000000	41078.595834	0.000000	0.000000	0.000000	0.038212
3422892060.000000	41078.597917	0.000000	0.000000	0.000000	0.034883
3422892240.000000	41078.600000	0.000000	0.000000	0.000000	0.034883
3422892420.000000	41078.602084	0.000000	0.000000	0.000000	0.034883
3422892600.000000	41078.604167	0.000000	0.000000	0.000000	0.034883
3422892780.000000	41078.606250	0.000000	0.000000	0.000000	0.038212
3422892960.000000	41078.608334	0.000000	0.000000	0.000000	0.034883
3422893140.000000	41078.610417	0.000000	0.000000	0.000000	0.038212
3422893320.000000	41078.612500	0.000000	0.000000	0.000000	0.031200
3422893500.000000	41078.614584	0.000000	0.000000	0.000000	0.034883
3422893680.000000	41078.616667	0.000000	0.000000	0.000000	0.034883
3422893860.000000	41078.618750	0.000000	0.000000	0.000000	0.031200
3422894040.000000	41078.620834	0.000000	0.000000	0.000000	0.038212
3422894220.000000	41078.622917	0.000000	0.000000	0.000000	0.034883
3422894400.000000	41078.625000	0.000000	0.000000	0.000000	0.031200
3422894580.000000	41078.627084	0.000000	0.000000	0.000000	0.034883
3422894760.000000	41078.629167	0.000000	0.000000	0.000000	0.034883
3422894940.000000	41078.631250	0.000000	0.000000	0.000000	0.034883
3422895120.000000	41078.633334	0.000000	0.000000	0.000000	0.038212
3422895300.000000	41078.635417	0.000000	0.000000	0.000000	0.031200
3422895480.000000	41078.637500	0.000000	0.000000	0.000000	0.034883
3422895660.000000	41078.639584	0.000000	0.000000	0.000000	0.034883
3422895840.000000	41078.641667	0.000000	0.000000	0.000000	0.034883
3422896020.000000	41078.643750	0.000000	0.000000	0.000000	0.034883
3422896200.000000	41078.645834	0.000000	0.000000	0.000000	0.034883
3422896380.000000	41078.647917	0.000000	0.000000	0.000000	0.038212
3422896560.000000	41078.650000	0.000000	0.000000	0.000000	0.031200
3422896740.000000	41078.652084	0.000000	0.000000	0.000000	0.034883
3422896920.000000	41078.654167	0.000000	0.000000	0.000000	0.034883
3422897100.000000	41078.656250	0.000000	0.000000	0.000000	0.034883
3422897280.000000	41078.658334	0.000000	0.000000	0.000000	0.034883
3422897460.000000	41078.660417	0.000000	0.000000	0.000000	0.034883
3422897640.000000	41078.662500	0.000000	0.000000	0.000000	0.034883
3422897820.000000	41078.664584	0.000000	0.000000	0.000000	0.034883
3422898000.000000	41078.666667	0.000000	0.000000	0.000000	0.034883
3422898180.000000	41078.668750	0.000000	0.000000	0.000000	0.034883
3422898360.000000	41078.670834	0.000000	0.000000	0.000000	0.038212
3422898540.000000	41078.672917	0.000000	0.000000	0.000000	0.034883
3422898720.000000	41078.675000	0.000000	0.000000	0.000000	0.034883
