Seconds	Time	Lux	CLA	CS	Activity
3428922240.000000	41148.391667	77.927765	98.800322	0.253067	0.331293
3428922420.000000	41148.393750	97.576080	139.463177	0.305142	0.482340
3428922600.000000	41148.395834	220.402972	316.300542	0.436419	0.034883
3428922780.000000	41148.397917	196.949085	277.871559	0.415830	0.034883
3428922960.000000	41148.400000	141.206536	190.139168	0.354549	0.535878
3428923140.000000	41148.402084	187.245730	247.431448	0.397170	0.027020
3428923320.000000	41148.404167	101.381653	137.229305	0.302620	0.593005
3428923500.000000	41148.406250	212.119367	184.649316	0.349821	0.487110
3428923680.000000	41148.408334	481.830563	528.920057	0.513413	0.509096
3428923860.000000	41148.410417	0.000000	0.000000	0.000000	0.313168
3428924040.000000	41148.412500	0.000000	0.000000	0.000000	0.056247
3428924220.000000	41148.414584	0.000000	0.000000	0.000000	0.031200
3428924400.000000	41148.416667	0.000000	0.000000	0.000000	0.031200
3428924580.000000	41148.418750	0.000000	0.000000	0.000000	0.062400
3428924760.000000	41148.420834	0.000000	0.000000	0.000000	0.194218
3428924940.000000	41148.422917	0.000000	0.000000	0.000000	0.027020
3428925120.000000	41148.425000	0.000000	0.000000	0.000000	0.031200
3428925300.000000	41148.427084	0.000000	0.000000	0.000000	0.031200
3428925480.000000	41148.429167	0.000000	0.000000	0.000000	0.031200
3428925660.000000	41148.431250	0.000000	0.000000	0.000000	0.031200
3428925840.000000	41148.433334	0.000000	0.000000	0.000000	0.034883
3428926020.000000	41148.435417	0.000000	0.000000	0.000000	0.031200
3428926200.000000	41148.437500	0.000000	0.000000	0.000000	0.031200
3428926380.000000	41148.439584	0.000000	0.000000	0.000000	0.031200
3428926560.000000	41148.441667	0.000000	0.000000	0.000000	0.031200
3428926740.000000	41148.443750	0.000000	0.000000	0.000000	0.031200
3428926920.000000	41148.445834	0.000000	0.000000	0.000000	0.031200
3428927100.000000	41148.447917	0.000000	0.000000	0.000000	0.031200
3428927280.000000	41148.450000	0.000000	0.000000	0.000000	0.031200
3428927460.000000	41148.452084	0.000000	0.000000	0.000000	0.031200
3428927640.000000	41148.454167	0.000000	0.000000	0.000000	0.031200
3428927820.000000	41148.456250	0.000000	0.000000	0.000000	0.031200
3428928000.000000	41148.458334	0.000000	0.000000	0.000000	0.031200
3428928180.000000	41148.460417	0.000000	0.000000	0.000000	0.031200
3428928360.000000	41148.462500	0.000000	0.000000	0.000000	0.031200
3428928540.000000	41148.464584	0.000000	0.000000	0.000000	0.031200
3428928720.000000	41148.466667	0.000000	0.000000	0.000000	0.031200
3428928900.000000	41148.468750	0.000000	0.000000	0.000000	0.031200
3428929080.000000	41148.470834	0.000000	0.000000	0.000000	0.031200
3428929260.000000	41148.472917	0.000000	0.000000	0.000000	0.031200
3428929440.000000	41148.475000	0.000000	0.000000	0.000000	0.031200
3428929620.000000	41148.477084	0.000000	0.000000	0.000000	0.031200
3428929800.000000	41148.479167	0.000000	0.000000	0.000000	0.031200
3428929980.000000	41148.481250	0.000000	0.000000	0.000000	0.031200
3428930160.000000	41148.483334	0.000000	0.000000	0.000000	0.031200
