Seconds	Time	Lux	CLA	CS	Activity
3428922600.000000	41148.395834	256.604589	356.755906	0.455217	0.031200
3428922780.000000	41148.397917	197.057649	265.847560	0.408735	0.402286
3428922960.000000	41148.400000	131.901821	170.365231	0.336872	0.483097
3428923140.000000	41148.402084	208.416274	263.113247	0.407073	0.031200
3428923320.000000	41148.404167	158.263258	209.955868	0.370590	0.200992
3428923500.000000	41148.406250	97.687753	123.584489	0.286438	0.506700
3428923680.000000	41148.408334	614.745620	660.136000	0.543276	0.317413
3428923860.000000	41148.410417	7.338552	0.000000	0.000000	0.391246
3428924040.000000	41148.412500	0.000000	0.000000	0.000000	0.046800
3428924220.000000	41148.414584	0.000000	0.000000	0.000000	0.038212
3428924400.000000	41148.416667	0.000000	0.000000	0.000000	0.038212
3428924580.000000	41148.418750	0.000000	0.000000	0.000000	0.038212
3428924760.000000	41148.420834	0.000000	0.000000	0.000000	0.193591
3428924940.000000	41148.422917	0.000000	0.000000	0.000000	0.031200
3428925120.000000	41148.425000	0.000000	0.000000	0.000000	0.031200
3428925300.000000	41148.427084	0.000000	0.000000	0.000000	0.031200
3428925480.000000	41148.429167	0.000000	0.000000	0.000000	0.031200
3428925660.000000	41148.431250	0.000000	0.000000	0.000000	0.034883
3428925840.000000	41148.433334	0.000000	0.000000	0.000000	0.031200
3428926020.000000	41148.435417	0.000000	0.000000	0.000000	0.031200
3428926200.000000	41148.437500	0.000000	0.000000	0.000000	0.031200
3428926380.000000	41148.439584	0.000000	0.000000	0.000000	0.031200
3428926560.000000	41148.441667	0.000000	0.000000	0.000000	0.034883
3428926740.000000	41148.443750	0.000000	0.000000	0.000000	0.031200
3428926920.000000	41148.445834	0.000000	0.000000	0.000000	0.034883
3428927100.000000	41148.447917	0.000000	0.000000	0.000000	0.034883
3428927280.000000	41148.450000	0.000000	0.000000	0.000000	0.031200
3428927460.000000	41148.452084	0.000000	0.000000	0.000000	0.031200
3428927640.000000	41148.454167	0.000000	0.000000	0.000000	0.031200
3428927820.000000	41148.456250	0.000000	0.000000	0.000000	0.031200
3428928000.000000	41148.458334	0.000000	0.000000	0.000000	0.034883
3428928180.000000	41148.460417	0.000000	0.000000	0.000000	0.031200
3428928360.000000	41148.462500	0.000000	0.000000	0.000000	0.031200
3428928540.000000	41148.464584	0.000000	0.000000	0.000000	0.031200
3428928720.000000	41148.466667	0.000000	0.000000	0.000000	0.031200
3428928900.000000	41148.468750	0.000000	0.000000	0.000000	0.034883
3428929080.000000	41148.470834	0.000000	0.000000	0.000000	0.031200
3428929260.000000	41148.472917	0.000000	0.000000	0.000000	0.034883
